sg_data_point,time,pressure,depth,temperature,conductivity,salinity,sigma_theta,density,latitude,longitude,buoyancy,speed,glide_angle,horz_speed,vert_speed,polar_heading
0,2023-05-12 19:14:17.464999936,1.076991268355697,1.0679799511629542,11.409176355968519,,,,,47.71529999999999,-122.3988,,,,,,1.4957471689591402
1,2023-05-12 19:14:22.731000064,1.1172526241820782,1.107904327003059,11.409606707504961,,,,,47.71530184542943,-122.39879918035808,,,,,,1.6283921921107096
2,2023-05-12 19:14:29.736000000,1.1575139800084593,1.1478286950367336,11.411505575120335,,,,,47.71530614570759,-122.39879727040251,,,,,,1.516691119983073
3,2023-05-12 19:14:35.012999936,1.1575139800084593,1.1478286950367336,11.414287105906704,,,,,47.71531044984059,-122.39879535873483,,,,,,1.6214108751027327
4,2023-05-12 19:14:40.288000000,1.2682327085310074,1.2576206668775085,11.412624475961584,,,,,47.715314147708305,-122.39879371633803,,,,,,1.574286985298885
5,2023-05-12 19:14:45.615000064,1.4896701655761042,1.477204433451683,11.3852974487588,,,,,47.71531786309813,-122.39879206615886,,,,,,1.6249015336067212
6,2023-05-12 19:14:52.154000128,2.03319846923225,2.0161817684283507,11.302832088371838,,,,,47.715322021447065,-122.39879021924072,,,,,,1.6947147036864945
7,2023-05-12 19:14:57.477999872,2.52640007810542,2.5052525634245213,11.255234210497665,,,,,47.71532617874466,-122.39878837278954,,,,,,1.6301375213627043
8,2023-05-12 19:15:02.799000064,2.9994710090653984,2.9743601844964203,11.178548826458744,,,,,47.7153299092035,-122.39878671591751,,,,,,1.4852751934471748
9,2023-05-12 19:15:08.122999808,3.5429993127215447,3.5133335676380697,11.007714994800358,,,,,47.71533363966233,-122.39878505904548,,,,,,1.3945180723434698
10,2023-05-12 19:15:17.691000064,4.8816893939487205,4.840798981538147,10.744247480383821,3.193210114532117,28.19176962901406,21.527669967271436,1021.5275815349555,47.7153453561109,-122.39877960296167,-118.14683341708587,41.52236438377865,-67.48848678456248,15.897629128837709,-38.358468844587904,1.2566370614359172
11,2023-05-12 19:15:23.624999936,6.0794647297835605,6.028523879212745,10.538983725692693,3.200731097280475,28.416579947634304,21.735996261877062,1021.7358884652471,47.715362443157716,-122.39877221166708,-107.3544583788579,39.36370345700206,-59.63627714387673,19.897862309267133,-33.96433755238342,1.335176877775662
12,2023-05-12 19:15:29.284000000,7.206782692922234,7.146376295898426,10.480008206545232,3.2018797791996563,28.475834204901226,21.791668572711387,1021.7915415901758,47.71537787661246,-122.39876757986848,-111.19719462770693,38.05382644158164,-49.751950007326165,24.586501284800203,-29.044752734677154,1.464331242423243
